#{"t_start": 1626962665.03672, "env_id": "fertilization-v0"}
r,l,t
-1490.658803,30,2.5516
-1826.708774,30,3.482135
-1188.716126,30,4.413319
-994.035478,30,5.340087
-1761.494182,30,6.266441
-1453.597708,30,7.191637
-1348.343899,30,8.113698
-1288.800166,30,9.03941
-1753.01976,30,9.961019
-1412.006391,30,10.887322
-1610.289951,30,11.811479
-1408.44793,30,12.734353
-1937.876693,30,13.661152
-1844.023501,30,14.584452
-1262.927371,30,15.512555
-1914.929642,30,16.433554
-1857.652527,30,17.357021
-1694.035478,30,18.277686
-2185.84857,30,19.196293
-1663.837079,30,20.115335
-1212.504198,30,21.037964
-1520.755589,30,21.967952
-1545.323484,30,22.887621
-1345.553577,30,23.808136
-1820.319308,30,24.731199
-1201.000302,30,25.651242
-1196.719908,30,26.566168
-1719.867949,30,27.485729
-1212.470593,30,28.404778
-1769.439123,30,29.323265
-1732.613609,30,30.24411
-1730.432499,30,31.161027
-1267.384539,30,32.099547
-1685.006135,30,33.021853
-1985.111795,30,34.673679
-1463.16002,30,35.553999
-1903.690233,30,36.424402
-1825.323484,30,37.290597
-1362.50132,30,38.155619
-1937.985158,30,39.018976
-1812.938437,30,39.880563
-1791.080633,30,40.749164
-1861.179392,30,41.614878
-1254.919635,30,42.481498
-1997.052545,30,43.345761
-1768.105422,30,44.214527
-1562.50132,30,45.080157
-986.210474,30,45.942663
-1950.262734,30,46.80417
-1015.07854,30,47.67332
-1109.887478,30,48.54319
-1393.759279,30,49.417893
-1978.900471,30,50.282749
-1321.691186,30,51.152316
-1803.584284,30,52.021456
-1634.84915,30,52.886361
-1770.051157,30,53.754694
-1911.793184,30,54.619153
-1298.217572,30,55.487439
-1579.345608,30,56.3618
-1488.800166,30,57.232895
-1639.085441,30,58.100752
-1790.051157,30,58.969412
-1337.775853,30,59.836608
-1193.759279,30,60.710129
-1763.121609,30,61.576101
-1050.432499,30,62.442736
-2165.641728,30,63.314556
-1624.997371,30,64.383233
-1433.759279,30,65.25285
-1567.695729,30,66.120259
-1192.470593,30,66.983576
-1441.536979,30,67.849211
-1143.16002,30,68.713233
-1427.124547,30,69.576171
-1604.146163,30,70.442424
-1517.775853,30,71.304893
-1589.219075,30,72.173868
-1502.296037,30,73.047185
-1722.40399,30,73.912251
-1252.480975,30,74.801265
-1409.930844,30,75.690006
-1785.84857,30,76.561134
-1634.573008,30,77.435504
-1888.433445,30,78.302749
-1077.85261,30,79.173299
-2092.938437,30,80.044026
-1382.50132,30,80.915745
-2147.124547,30,81.784712
-1719.867949,30,82.651592
-1395.07854,30,83.522353
-1525.156813,30,84.392574
-1577.052545,30,85.291603
-1435.07854,30,86.215282
-1548.264697,30,87.137491
-1932.938437,30,88.060858
-1573.597708,30,88.98446
-1437.278577,30,89.903663
-1189.930844,30,90.829687
-1789.87964,30,91.755124
-1685.553577,30,92.682378
-1705.111795,30,93.606239
-1996.291433,30,94.728498
-1513.597708,30,95.659719
-1821.401007,30,96.583084
-1449.439123,30,97.505647
-1154.035478,30,98.377648
-2052.091657,30,99.240503
-1141.471814,30,100.105031
-1895.677104,30,100.966085
-1006.241841,30,101.833396
-1659.296445,30,102.695637
-1396.050101,30,103.559509
-1526.241841,30,104.424827
-2107.184101,30,105.328567
-1416.503408,30,106.254886
-1873.856579,30,107.177586
-1943.690233,30,108.102416
-1905.284906,30,109.02534
-1168.716126,30,109.950936
-1940.755589,30,110.877329
-1632.504198,30,111.801778
-1411.080633,30,112.726361
-1729.251879,30,113.647959
-2105.284906,30,114.573604
-1314.929642,30,115.498125
-1207.384539,30,116.422436
-2219.085441,30,117.344566
-1096.719908,30,118.264702
-1617.985158,30,119.189617
-1285.284906,30,120.115579
-1580.0,30,121.035041
-1722.40399,30,121.961463
-1359.05529,30,122.885488
-1264.27478,30,123.806365
-1304.997371,30,124.731006
-1931.793184,30,125.855515
-1714.448761,30,126.778487
-1561.30586,30,127.709049
-1682.452015,30,128.676171
-1526.998912,30,129.619835
-1670.572239,30,130.543402
-1352.006391,30,131.469245
-1488.105422,30,132.395979
-1723.121609,30,133.30832
-1820.0,30,134.234631
-1647.648793,30,135.174553
-1336.213436,30,136.098983
-1776.543956,30,137.020631
-1417.391289,30,137.948675
-1566.8649,30,138.871455
-1604.929458,30,139.881495
-1753.01976,30,140.808509
-1272.480975,30,141.734858
-1319.085441,30,142.660806
-1308.105422,30,143.582692
-2280.0,30,144.510403
-1208.105422,30,145.436926
-1564.023501,30,146.361006
-1789.87964,30,147.284822
-1201.000302,30,148.208954
-1533.856579,30,149.13349
-1392.470593,30,150.058253
-2433.856579,30,150.977399
-1917.762676,30,151.901662
-1102.551183,30,152.830575
-1781.179392,30,153.755954
-1866.708774,30,154.678578
-1554.293895,30,155.606781
-1762.40399,30,156.512704
-2046.8649,30,157.610766
-1550.289951,30,158.483624
-1963.837079,30,159.352173
-1591.707777,30,160.216799
-1847.648793,30,161.079118
-1813.180988,30,161.949633
-1591.793184,30,162.818576
-919.05529,30,163.686149
-1059.867949,30,164.555912
-1405.771067,30,165.430176
-1379.05529,30,166.306049
-1763.16002,30,167.176214
-1327.384539,30,168.04568
