#{"t_start": 1626796892.4401753, "env_id": "fertilization-v0"}
r,l,t
-520.658803,30,11.113564
-806.708774,30,12.347054
-428.716126,30,13.319787
-344.035478,30,14.278702
-681.494182,30,15.221663
-713.597708,30,16.157616
-758.343899,30,17.083999
-678.800166,30,18.033229
-453.01976,30,18.986251
-512.006391,30,19.920386
-430.289951,30,20.854222
-478.44793,30,21.795645
-577.876693,30,22.73265
-584.023501,30,23.674063
-182.927371,30,24.637827
-324.929642,30,25.566721
-997.652527,30,26.496107
-484.035478,30,27.423525
-735.84857,30,28.371374
-733.837079,30,29.319211
-552.504198,30,30.2464
-900.755589,30,31.172637
-865.323484,30,32.097663
-705.553577,30,33.022159
-850.319308,30,33.953928
-331.000302,30,34.889939
-406.719908,30,35.815306
-529.867949,30,36.744013
-622.470593,30,37.672713
-399.439123,30,38.604716
-432.613609,30,39.53181
-420.432499,30,40.457937
-517.384539,30,41.395339
-405.006135,30,42.319313
-945.111795,30,43.62743
-523.16002,30,44.560452
-723.690233,30,45.486952
-665.323484,30,46.414227
-812.50132,30,47.339437
-767.985158,30,48.271205
-772.938437,30,49.201967
-471.080633,30,50.12977
-861.179392,30,51.066254
-354.919635,30,51.993777
-807.052545,30,52.921466
-418.105422,30,53.852488
-792.50132,30,54.783947
-486.210474,30,55.723432
-740.262734,30,56.662434
-415.07854,30,57.603452
-429.887478,30,58.526865
-553.759279,30,59.480211
-878.900471,30,60.402116
-721.691186,30,61.327916
-743.584284,30,62.25177
-1084.84915,30,63.180649
-800.051157,30,64.104864
-761.793184,30,65.036588
-738.217572,30,65.976589
-669.345608,30,66.90185
-578.800166,30,67.823601
-799.085441,30,68.749046
-710.051157,30,69.674608
-387.775853,30,70.603096
-223.759279,30,71.539885
-903.121609,30,72.480968
-530.432499,30,73.409771
-615.641728,30,74.336033
-394.997371,30,75.63748
-433.759279,30,76.565324
-597.695729,30,77.49033
-672.470593,30,78.415281
-781.536979,30,79.337317
-623.16002,30,80.268353
-917.124547,30,81.200823
-574.146163,30,82.13449
-357.775853,30,83.064891
-479.219075,30,83.996789
-842.296037,30,84.931578
-602.40399,30,85.859675
-242.480975,30,86.782783
-499.930844,30,87.716129
-865.84857,30,88.643219
-554.573008,30,89.569848
-908.433445,30,90.488989
-487.85261,30,91.418256
-982.938437,30,92.341995
-862.50132,30,93.27168
-867.124547,30,94.197843
-599.867949,30,95.121736
-385.07854,30,96.051032
-495.156813,30,96.978098
-837.052545,30,97.908909
-405.07854,30,98.839125
-438.264697,30,99.768291
-912.938437,30,100.6892
-663.597708,30,101.612645
-457.278577,30,102.54158
-469.930844,30,103.468825
-689.87964,30,104.394915
-675.553577,30,105.322499
-685.111795,30,106.248775
-606.291433,30,107.545711
-773.597708,30,108.470669
-601.401007,30,109.397564
-349.439123,30,110.325994
-304.035478,30,111.260704
-932.091657,30,112.189265
-591.471814,30,113.118141
-835.677104,30,114.047484
-496.241841,30,114.974258
-539.296445,30,115.898249
-516.050101,30,116.819947
-536.241841,30,117.744008
-787.184101,30,118.665739
-666.503408,30,119.588392
-1043.856579,30,120.512533
-663.690233,30,121.447291
-805.284906,30,122.375635
-428.716126,30,123.309965
-850.755589,30,124.252208
-602.504198,30,125.182106
-501.080633,30,126.114112
-729.251879,30,127.044214
-795.284906,30,127.977596
-414.929642,30,128.909819
-497.384539,30,129.844245
-889.085441,30,130.779718
-346.719908,30,131.708439
-747.985158,30,132.63827
-935.284906,30,133.573812
-1010.0,30,134.506876
-1032.40399,30,135.444976
-309.05529,30,136.373291
-254.27478,30,137.30449
-404.997371,30,138.23836
-861.793184,30,139.549762
-954.448761,30,140.480831
-961.30586,30,141.411909
-562.452015,30,142.357466
-606.998912,30,143.288196
-640.572239,30,144.227479
-722.006391,30,145.160327
-688.105422,30,146.089548
-1053.121609,30,147.026522
-970.0,30,147.972312
-817.648793,30,148.917459
-736.213436,30,149.85585
-886.543956,30,150.788196
-587.391289,30,151.716908
-766.8649,30,152.644644
-584.929458,30,153.577119
-563.01976,30,154.505181
-662.480975,30,155.436782
-639.085441,30,156.380673
-598.105422,30,157.327765
-940.0,30,158.260237
-458.105422,30,159.196181
-524.023501,30,160.125216
-789.87964,30,161.061883
-301.000302,30,161.997562
-753.856579,30,162.936995
-342.470593,30,163.87119
-793.856579,30,164.805506
-777.762676,30,165.739312
-412.551183,30,166.678063
-791.179392,30,167.60179
-806.708774,30,168.531054
-894.293895,30,169.472697
-592.40399,30,170.402708
-626.8649,30,171.703852
-380.289951,30,172.642449
-883.837079,30,173.567829
-591.707777,30,174.492576
-797.648793,30,175.41731
-903.180988,30,176.34498
-831.793184,30,177.267899
-279.05529,30,178.197453
-709.867949,30,179.133997
-515.771067,30,180.056864
-369.05529,30,180.979779
-683.16002,30,181.903351
-327.384539,30,182.830492
-1000.0,30,183.756711
-445.006135,30,184.680269
-726.998912,30,185.609527
-307.110038,30,186.528197
-569.526613,30,187.454114
-807.052545,30,188.380237
-538.800166,30,189.305957
-656.8649,30,190.254127
-500.432499,30,191.179719
-790.0,30,192.107001
-346.316483,30,193.030446
-464.919635,30,193.96365
-723.535478,30,194.890211
-546.860209,30,195.823481
-589.526613,30,196.753496
-994.573008,30,197.688258
-785.603918,30,198.614554
-445.006135,30,199.538774
-314.961548,30,200.470442
-770.0,30,201.412388
-878.433686,30,202.345732
-666.213436,30,203.648232
-473.66276,30,204.580268
-896.844882,30,205.510398
-667.695729,30,206.439982
-892.567091,30,207.381837
-887.9717,30,208.308652
-306.423566,30,209.231969
-366.842813,30,210.169093
